INVOICE;Исходный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Код страны поставщика;УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;192357186;;"Унитарное предприятие ""МЖК-СтройИнвест""";107;Продавец;Апанасёнок Алексей Валентинович;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;192357186-2017-0000000041;;Исходный;Выставлен. Подписан получателем;04.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""18/11-2016""";18.11.2016;;;;;"""""";;635,32;0;127,08;762,4
112;191578945;     ;"Общество с ограниченной ответственностью ""Авангардойл""";105;Продавец;;112;691772248;     ;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;191578945-2017-0000000856;;Исходный;Выставлен. Подписан получателем;03.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""Д-1734""";21.03.2017;ТТН-1;ТТН-1;402961;ЭЮ;"""3520036""";31.03.2017;886,3;0;177,26;1063,56
112;191439844;;"Иностранное унитарное предприятие ""Стэнком""";108;Продавец;Щербаков Виктор Владимирович;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191439844-2017-0000000013;;Дополнительный без ссылки;Выставлен. Подписан получателем;05.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""1428601""";13.10.2015;ТН-2;;401851;ШИ;"""0334743""";07.03.2016;-91,37;0;-18,28;-109,65
112;800013732;;"Совместное общество с ограниченной ответственностью ""Мобильные ТелеСистемы""";107;Продавец;;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;800013732-2017-1200803231;;Исходный;Выставлен. Подписан получателем;08.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""107316615643""";05.12.2016;Другое;Счёт-акт выполненных работ (оказанных услуг);;;"""1137725367""";31.03.2017;30;0;7,5;37,5
112;100181973;;"ООО ""АНИТЭКС""";111;Продавец;;112;691772248;;ХимПромОил ООО;107;Покупатель; ;100181973-2017-0000003513;;Исходный;Выставлен. Подписан получателем;05.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""298""";28.12.2015;Акт выполненных работ;;;;"""6927""";31.03.2017;82;0;20,5;102,5
112;190117474;;"УП ""ЖЭС МЖК""";107;Посредник;Волошина Галина Андреевна;112;691772248;;"ООО ""ХимПромОил""";107;Потребитель; ;190117474-2017-0000000343;;Исходный;Выставлен. Подписан получателем;12.04.2017;31.03.2017;20.07.2017;;"""""";;;"""""";;"""""";"""""";;;"""№74""";01.01.2017;Счет-фактура;;;;"""298""";11.04.2017;3,27;0;0,66;3,93
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Продавец;;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2017-1700023224;;Исходный;Выставлен. Подписан получателем;06.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/31-03-2017""";31.03.2017;377,24;0;75,46;452,7
112;102302797;;"ФИЛИАЛ МГТС РУП ""БЕЛТЕЛЕКОМ""";104;Продавец;;112;691772248;;"ООО""ХИМПРОМОИЛ""";107;Покупатель; ;102302797-2017-9704023275;;Исходный;Выставлен. Подписан получателем;11.04.2017;31.03.2017;20.07.2017;;"""""";;;"""""";;"""""";"""""";;;"""17040199797""";01.12.2016;Счет-фактура;Счёт-фактура;;;"""1008493""";10.04.2017;20,99;0;5,25;26,24
112;190117474;;"УП ""ЖЭС МЖК""";107;Продавец;Волошина Галина Андреевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190117474-2017-0000000282;;Исходный;Выставлен. Подписан получателем;28.03.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""74""";02.01.2017;Счет-фактура;;;;"""244""";31.03.2017;42,58;0;8,52;51,1
112;691468886;;"Частное предприятие ""КириОл-Транс""";613;Продавец;Сайко Кристина Юрьевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;691468886-2017-0000000116;;Исходный;Выставлен. Подписан получателем;09.08.2017;31.03.2017;05.10.2017;;"""""";;;"""""";;"""""";"""""";;;"""бн""";31.03.2017;Акт;;;бн;"""бн""";31.03.2017;400;0;0;400
112;190604746;     ;"ЧУП ""Белтрансспутник"", РБ";108;Продавец;;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;190604746-2017-0000010314;;Исходный;Выставлен. Подписан получателем;09.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""7392-у""";26.05.2016;Акт;;;;"""9028""";31.03.2017;17,5;0;3,5;21
112;191426062;;Гоман К. Н.;107;Посредник;Гоман Кирилл Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Потребитель; ;191426062-2018-0000000011;;Исходный;Выставлен. Подписан получателем;20.01.2018;31.03.2017;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""1""";05.03.2015;Счет-фактура;;;;"""3""";15.04.2017;56,6;0;11,32;67,92
112;800013732;;"Совместное общество с ограниченной ответственностью ""Мобильные ТелеСистемы""";107;Продавец;;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;800013732-2017-1200810591;;Исходный;Выставлен. Подписан получателем;09.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""107316033119""";15.04.2016;Другое;Счёт-акт выполненных работ (оказанных услуг);;;"""1137300580""";31.03.2017;7,5;0;1,87;9,37
112;191426062;;Гоман К. Н.;107;Продавец;Гоман Кирилл Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191426062-2017-0000000028;;Исходный;Выставлен. Подписан получателем;07.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""1-с""";01.05.2015;;;;;"""""";;1568,22;0;313,64;1881,86
112;101015738;;"РУП ""Белпочта""";103;Продавец;;112;691772248;;"ООО ""Химпромоил""";107;Покупатель; ;101015738-2017-0000151553;;Исходный;Выставлен. Подписан получателем;10.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""""";;Другое;Квитанция;;;"""2225""";06.03.2017;4;0;0,8;4,8
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2017-1700032351;;Исходный;Выставлен. Подписан получателем;07.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/31-03-2017""";31.03.2017;23,77;0;4,75;28,52
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2017-1700032111;;Исходный;Выставлен. Подписан получателем;07.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/31-03-2017""";31.03.2017;33,07;0;6,61;39,68
112;191426062;;Гоман К. Н.;107;Продавец;Гоман Кирилл Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191426062-2017-0000000027;;Исходный;Выставлен. Подписан получателем;07.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""1""";05.03.2015;;;;;"""""";;83,33;0;16,67;100
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2017-1700031175;;Исходный;Выставлен. Подписан получателем;07.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/31-03-2017""";31.03.2017;18,5;0;3,7;22,2
112;191689581;     ;"Общество с ограниченной ответственностью ""Вебмарт Групп""";108;Продавец;;112;691772248;     ;ООО «ХимПромОил» , РБ;107;Покупатель; ;191689581-2017-0000000356;;Исходный;Выставлен. Подписан получателем;06.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""Публичный""";01.02.2016;Акт;Акт;;;"""448""";31.03.2017;416,66;0;83,34;500
112;190117474;;"УП ""ЖЭС МЖК""";107;Посредник;Волошина Галина Андреевна;112;691772248;;"ООО ""ХимПромОил""";107;Потребитель; ;190117474-2017-0000000344;;Исходный;Выставлен. Подписан получателем;12.04.2017;31.03.2017;20.07.2017;;"""""";;;"""""";;"""""";"""""";;;"""№74""";01.01.2017;Счет-фактура;;;;"""298""";11.04.2017;214,11;0;42,82;256,93
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2017-1700026980;;Исходный;Выставлен. Подписан получателем;07.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/31-03-2017""";31.03.2017;1247,25;0;249,51;1496,76
112;190726138;;"Государственное предприятие ""Центр Систем Идентификации""";107;Продавец;;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190726138-2017-0000013406;;Исходный;Выставлен. Подписан получателем;06.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""ПМ50/01169/16""";23.04.2016;Акт;;;;"""ПМ50/01169/16""";31.03.2017;5,68;0;1,14;6,82
112;700103252;;ОАО Климовичский КХП;709;Продавец;;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;700103252-2017-0000013481;;Исходный;Выставлен. Подписан получателем;06.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""390""";16.11.2016;Акт;;;;"""0000032-БУХ10""";31.03.2017;11,58;0;2,31;13,89
112;191426062;;Гоман К. Н.;107;Продавец;Гоман Кирилл Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191426062-2017-0000000032;;Исходный;Аннулирован;19.04.2017;31.03.2017;20.07.2017;31.03.2017;"""""";;;"""""";;"""""";"""""";;;"""1""";05.03.2015;;;;;"""""";;56,6;0;11,32;67,92
112;101007741;;"РУП ""БЕЛТЕЛЕКОМ""";111;Продавец;;112;691772248;;"ООО""ХИМПРОМОИЛ""";107;Покупатель; ;101007741-2017-9704018701;;Исходный;Выставлен. Подписан получателем;11.04.2017;31.03.2017;18.08.2017;;"""""";;;"""""";;"""""";"""""";;;"""17040199797""";01.12.2016;Счет-фактура;Счёт-фактура;;;"""1008493""";10.04.2017;75,12;0;18,78;93,9
112;101528843;;"Унитарное предприятие ""Велком""";111;Продавец;;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;101528843-2017-9910460270;;Исходный;Выставлен. Подписан получателем;05.04.2017;31.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""000200442507""";10.12.2014;Акт;;;;"""2017040361630124""";31.03.2017;350,33;0;87,58;437,91
112;192737051;;"Частное предприятие ""АКЦИУМ""";103;Продавец;Воравко Иван Иванович;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;192737051-2017-0000000036;;Исходный;Выставлен. Подписан получателем;07.04.2017;30.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";28.03.2017;;;;;"""""";;150;0;0;150
112;690276940;;Шеченков В.В.;603;Продавец;Шеченков Владимир Викторович;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;690276940-2017-0000000044;;Исходный;Выставлен. Подписан получателем;09.04.2017;30.03.2017;10.04.2017;;"""""";;;"""""";;"""""";"""""";;;"""182/07-15""";28.07.2015;ТТН-1;;402861;ЖУ;"""0794993""";30.03.2017;444;0;88,8;532,8
