
INVOICE;Исходный
"Код страны поставщика";УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;190583381;"     ";"РУП  ""Белоруснефть-Минскавтозаправка""";104;Продавец;Домашенко Наталья Леонидовна;112;100588821;"     ";"НП ООО ""ЭРТЕКС""";105;Покупатель;" ";190583381-2018-1800037073;;Исходный;Выставлен. Подписан получателем;06-03-2018;28-02-2018;27-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""6505756""";09.12.2014;Другое;НТУ-АЗС;;;"""6505756/28-02-2018""";2018-02-28;179,19;0,0;35,850;215,040
112;101015738;;"РУП ""Белпочта""";103;Комиссионер;Кондратович Людмила Алимпиевна;112;100588821;;НП ООО ЭРТЕКС;105;Покупатель;" ";101015738-2018-0000194624;;Исходный;Выставлен. Подписан получателем;13-03-2018;28-02-2018;27-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""3333      """;08.01.2018;Другое;Заказ по вед. подписке;;;"""265557""";2018-01-10;8,9;0,0;1,780;10,680
112;102347252;"     ";"Завод металлоконструкций ОАО ""Трест №15""Спецстрой""";105;Посредник;Красногирь Тамара Владимировна;112;100588821;"     ";"НП ООО ""Эртекс""";105;Потребитель;" ";102347252-2018-0000000431;;Исходный;Выставлен. Подписан получателем;13-03-2018;28-02-2018;27-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""57-04/09""";01.07.2009;Акт;;;;"""У-000151""";2018-02-28;139,91;0,0;27,980;167,890
112;102347252;"     ";"Завод металлоконструкций ОАО ""Трест №15""Спецстрой""";105;Посредник;Красногирь Тамара Владимировна;112;100588821;"     ";"НП ООО ""Эртекс""";105;Потребитель;" ";102347252-2018-0000000448;;Исходный;Выставлен. Подписан получателем;13-03-2018;28-02-2018;27-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""57-04/09""";01.07.2009;Акт;;;;"""У-000166""";2018-02-28;8997,47;0,0;1799,490;10796,960
112;102347252;"     ";"Завод металлоконструкций ОАО ""Трест №15""Спецстрой""";105;Посредник;Красногирь Тамара Владимировна;112;100588821;"     ";"НП ООО ""Эртекс""";105;Потребитель;" ";102347252-2018-0000000464;;Исходный;Выставлен. Подписан получателем;13-03-2018;28-02-2018;27-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""06-02/2016""";01.04.2016;Акт;;;;"""У-000188""";2018-02-28;3,25;0,0;0,810;4,060
112;190583381;"     ";"РУП  ""Белоруснефть-Минскавтозаправка""";104;Комиссионер;Домашенко Наталья Леонидовна;112;100588821;"     ";"НП ООО ""ЭРТЕКС""";105;Покупатель;" ";190583381-2018-1800043457;;Исходный;Выставлен. Подписан получателем;07-03-2018;28-02-2018;27-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""6505756""";09.12.2014;Другое;НТУ-АЗС;;;"""6505756/28-02-2018""";2018-02-28;16,12;0,0;3,230;19,350
112;191307958;"     ";"Совместное общество с ограниченной ответственностью ""РЕМОНДИС Минск""";103;Продавец;Дивиченко Наталья Валерьевна;112;100588821;"     ";"Научно-производственное ООО ""ЭРТЕКС""";105;Покупатель;" ";191307958-2018-0000041775;;Исходный;Выставлен. Подписан получателем;07-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""2714""";01.01.2014;Счет-фактура;Счет-фактура;;;"""2714/02/2018""";2018-02-28;24,65;0,0;4,930;29,580
112;102347252;"     ";"Завод металлоконструкций ОАО ""Трест №15""Спецстрой""";105;Посредник;Красногирь Тамара Владимировна;112;100588821;"     ";"НП ООО ""Эртекс""";105;Потребитель;" ";102347252-2018-0000000462;;Исходный;Выставлен. Подписан получателем;13-03-2018;28-02-2018;27-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""06-02/2016""";01.04.2016;Акт;;;;"""У-000181""";2018-02-28;120,28;0,0;24,060;144,340
112;190654467;;"ООО ""Автолайтэкспресс""";103;Продавец;Сташкевич Олеся Владимировна;112;100588821;;"НПООО ""Эртекс""";105;Покупатель;" ";190654467-2018-0617473355;;Исходный;Выставлен. Подписан получателем;02-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""BY-М-641 """;14.09.2011;Акт выполненных работ;;;;"""13404""";2018-02-28;16,86;0,0;3,370;20,230
112;102347252;"     ";"Завод металлоконструкций ОАО ""Трест №15""Спецстрой""";105;Продавец;Красногирь Тамара Владимировна;112;100588821;"     ";"НП ООО ""Эртекс""";105;Покупатель;" ";102347252-2018-0000000387;;Исходный;Выставлен. Подписан получателем;05-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""06-02/2016""";01.04.2016;Акт;;;;"""У-000110""";2018-02-28;4763,68;0,0;952,740;5716,420
112;100011286;;"УП ""Экорес"" РБ";102;Продавец;Казакова Алеся Николаевна;112;100588821;;"Научно-производственное общество с ограниченоой ответственностью ""Эртекс""";105;Покупатель;" ";100011286-2018-9647938276;;Исходный;Выставлен. Подписан получателем;05-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""2714-у""";01.01.2016;Счет-фактура;;;;"""2714""";2018-02-28;11,55;0,0;2,310;13,860
112;101528843;;"Унитарное предприятие ""Велком""";111;Продавец;Бабич Алеся Ивановна;112;100588821;;"НП ООО ""Эртекс""";105;Покупатель;" ";101528843-2018-9910190530;;Исходный;Выставлен. Подписан получателем;06-03-2018;28-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""104302775""";30.09.2008;Акт;;;;"""2018030395064094""";2018-02-28;96,69;0,0;24,170;120,860
