INVOICE;Исходный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Код страны поставщика;УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;100006975;     ;"ООО ""Сервовит""    РБ";106;Продавец;Корчашко Елена Вячеславовна;112;691772248;     ;"ООО ""ХимПромОйл""";107;Покупатель; ;100006975-2018-0000000345;;Исходный;Выставлен. Подписан получателем;05.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""0415/15""";15.04.2015;ТТН-1;;402961;ЮЯ;"""4825426""";28.02.2018;1311,2;0;262,24;1573,44
112;101007741;;"РУП ""БЕЛТЕЛЕКОМ""";111;Продавец;Зеленина Диана Викторовна;112;691772248;     ;"ООО""ХИМПРОМОИЛ""";107;Покупатель; ;101007741-2018-9703016709;;Исходный;Выставлен. Подписан получателем;09.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""298""";28.12.2015;Счет-фактура;Счёт-фактура;;;"""1008817""";12.03.2018;66,25;0;16,56;82,81
112;800013732;;"Совместное общество с ограниченной ответственностью ""Мобильные ТелеСистемы""";107;Продавец;Щетко Дмитрий Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;800013732-2018-1201258357;;Исходный;Выставлен. Подписан получателем;09.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""107316615643""";05.12.2016;Другое;Счёт-акт оказанных услуг;;;"""8780517838""";28.02.2018;30;0;7,5;37,5
112;102302797;;"ФИЛИАЛ МГТС РУП ""БЕЛТЕЛЕКОМ""";104;Продавец;Ухтинская Светлана Сергеевна;112;691772248;     ;"ООО""ХИМПРОМОИЛ""";107;Покупатель; ;102302797-2018-9703021249;;Исходный;Выставлен. Подписан получателем;09.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""298""";28.12.2015;Счет-фактура;Счёт-фактура;;;"""1008817""";12.03.2018;22,85;0;5,72;28,57
112;200180562;     ;"Общество с ограниченной ответственностью ""Белинвестторг""";271;Продавец;Юсковец Татьяна Васильевна;112;691772248;     ;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;200180562-2018-0000004787;;Исходный;Выставлен. Подписан получателем;06.03.2018;28.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""834/17М""";18.08.2017;ТТН-1;ТТН-1;402961;ЮЮ;"""0187491""";28.02.2018;416,68;0;83,34;500,02
112;190117474;;"УП ""ЖЭС МЖК""";107;Посредник;Волошина Галина Андреевна;112;691772248;;"ООО ""ХимПромОил""";107;Потребитель; ;190117474-2018-0000000303;;Исходный;Выставлен. Подписан получателем;16.03.2018;28.02.2018;23.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""№74""";01.01.2017;Счет-фактура;;;;"""239""";12.03.2018;343,54;0;68,71;412,25
112;191426062;;Гоман К. Н.;107;Посредник;Гоман Кирилл Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Потребитель; ;191426062-2018-0000000041;;Исходный;Выставлен. Подписан получателем;19.03.2018;28.02.2018;23.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""1""";05.03.2015;Счет-фактура;;;;"""2/2018""";19.03.2018;204,1;0;40,82;244,92
643;5262095538;     ;"АО ""СОВХИМТЕХ"", РФ";;Иностранная организация;Римша Александр Николаевич;112;691772248;     ;"ООО ХимПромОил""";107;Покупатель; ;691772248-2018-0000000784;;Исходный;Выставлен. Подписан получателем;20.03.2018;28.02.2018;20.03.2018;;"""""";;;"""""";;"""""";"""4""";28.02.2018;13.02.2018;"""85/11/17-С""";13.11.2017;;;;;"""""";;22237,26;0;4447,45;22237,26
643;5259030883;     ;"АО ""ВолгаНефтеХим"", РФ";;Иностранная организация;Римша Александр Николаевич;112;691772248;     ;"ООО ХимПромОил""";107;Покупатель; ;691772248-2018-0000000783;;Исходный;Выставлен. Подписан получателем;20.03.2018;28.02.2018;20.03.2018;;"""""";;;"""""";;"""""";"""3""";28.02.2018;12.02.2018;"""2018/01-ВЭД""";06.02.2018;;;;;"""""";;3655,94;0;731,19;3655,94
112;192357186;;"Унитарное предприятие ""МЖК-СтройИнвест""";107;Продавец;Апанасёнок Алексей Валентинович;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;192357186-2018-0000000093;;Исходный;Выставлен;06.03.2018;28.02.2018;;;"""""";;;"""""";;"""""";"""""";;;"""18/11-2016""";18.11.2016;Акт;;;;"""58""";28.02.2018;828,53;0;165,7;994,23
643;4025418492;     ;"ООО ""Эком""";;Иностранная организация;Римша Александр Николаевич;112;691772248;     ;"ООО ХимПромОил""";107;Покупатель; ;691772248-2018-0000000782;;Исходный;Выставлен. Подписан получателем;20.03.2018;28.02.2018;20.03.2018;;"""""";;;"""""";;"""""";"""2""";28.02.2018;02.02.2018;"""2014-020""";10.10.2014;;;;;"""""";;6590,28;0;1318,06;6590,28
