INVOICE;Исходный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Код страны поставщика;УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;700010418;     ;"ОАО ""Заднепровский межрайагросервис""";773;Покупатель; ;691772248-2018-0000000761;;Исходный;Выставлен. Подписан получателем;05.03.2018;28.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""486""";08.02.2018;ТТН-1;;402961;ЮЯ;"""0114940""";28.02.2018;1707,2;0;341,44;2048,64
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;192005624;     ;"ООО ""ВСПК-Трэйд""";105;Покупатель; ;691772248-2018-0000000766;;Исходный;Выставлен;06.03.2018;28.02.2018;;;"""""";;;"""""";;"""""";"""""";;;"""714""";28.02.2018;ТН-2;;401951;ИЭ;"""1705569""";28.02.2018;35,96;0;7,19;43,15
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;400051624;     ;ООО САЛЕО-Гомель;432;Покупатель; ;691772248-2018-0000000768;;Исходный;Выставлен. Подписан получателем;06.03.2018;28.02.2018;15.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""716""";28.02.2018;ТТН-1;;402961;ЮЯ;"""0114941""";28.02.2018;1429,84;0;285,97;1715,81
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;400052301;     ;"ОМТС РУП ""Гомельское отделение  Белорусской железной дороги """;432;Покупатель; ;691772248-2018-0000000767;;Исходный;Выставлен;06.03.2018;28.02.2018;;;"""""";;;"""""";;"""""";"""""";;;"""05-1/16200-65073""";23.02.2018;ТТН-1;;402961;ЮЯ;"""0114939""";28.02.2018;1060;0;212;1272
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;192749400;     ;"ООО ""Экоспецресурс""";109;Покупатель; ;691772248-2018-0000000769;;Исходный;Выставлен. Подписан получателем;06.03.2018;28.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""08/02-17""";08.02.2017;ТТН-1;;402961;ЮЯ;"""0114938""";28.02.2018;771,39;0;154,28;925,67
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;691499530;     ;"ООО ""ИнтерГруппАвтоЗапчасти""";603;Покупатель; ;691772248-2018-0000000758;;Исходный;Выставлен. Подписан получателем;05.03.2018;27.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""09/10-3""";09.10.2014;ТТН-1;;402961;ЮЯ;"""0114928""";27.02.2018;217,45;0;43,49;260,94
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;192776912;     ;"ООО ""Системы Энергоснабжения""";106;Покупатель; ;691772248-2018-0000000760;;Исходный;Выставлен;05.03.2018;27.02.2018;;;"""""";;;"""""";;"""""";"""""";;;"""695""";27.02.2018;ТТН-1;;402961;ЮЯ;"""0114931""";27.02.2018;519,6;0;103,92;623,52
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;691499530;     ;"ООО ""ИнтерГруппАвтоЗапчасти""";603;Покупатель; ;691772248-2018-0000000757;;Исходный;Выставлен. Подписан получателем;05.03.2018;27.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""09/10-3""";09.10.2014;ТТН-1;;402961;ЮЯ;"""0114927""";27.02.2018;158,1;0;31,62;189,72
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;290971819;     ;"ПУП ""Брествторчермет""";232;Покупатель; ;691772248-2018-0000000772;;Исходный;Выставлен. Подписан получателем;06.03.2018;27.02.2018;15.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""05-1/16200-65074""";23.02.2018;ТТН-1;;402961;ЮЯ;"""0114933""";27.02.2018;500;0;100;600
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;690679676;     ;"ООО ""Автоборисов""";603;Покупатель; ;691772248-2018-0000000752;;Исходный;Выставлен. Подписан получателем;05.03.2018;27.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""09/10-1""";09.10.2014;ТТН-1;;402961;ЮЯ;"""0114925""";27.02.2018;115,35;0;23,07;138,42
